processes, n, CPU time (s), Wtime(s)
2, 500, 0.233835, 0.231974
2, 1000, 1.817054, 1.815180
2, 1500, 6.243756, 6.242510
2, 2000, 14.658194, 14.658556
2, 3000, 49.206221, 49.225483
4, 500, 0.177964, 0.172269
4, 1000, 1.815423, 1.810113
4, 1500, 4.031202, 4.022655
4, 2000, 8.431553, 7.397558
4, 3000, 24.675751, 24.702375
10, 500, 0.075470, 0.206977
10, 1000, 0.430892, 1.275137
10, 1500, 1.349738, 4.046255
10, 2000, 3.123861, 9.352000
10, 3000, 10.208107, 30.626457
2, 500, 0.262868, 0.260713
2, 1000, 1.824569, 1.817751
2, 1500, 6.118634, 6.112194
2, 2000, 14.611889, 14.611604
2, 3000, 49.212930, 49.227836
4, 500, 0.125432, 0.121791
4, 1000, 0.942873, 0.935478
4, 1500, 3.117775, 3.115221
4, 2000, 7.531410, 7.531105
4, 3000, 24.796884, 24.802709
10, 500, 0.149660, 0.435245
10, 1000, 0.430545, 1.288182
10, 1500, 1.365784, 4.079155
10, 2000, 3.122943, 9.367261
10, 3000, 10.198704, 30.580043
2, 500, 0.230756, 0.229602
2, 1000, 1.815891, 1.814697
2, 1500, 6.108428, 6.108105
2, 2000, 14.681103, 14.688876
2, 3000, 49.017628, 49.023261
4, 500, 0.122870, 0.120040
4, 1000, 0.930498, 0.928869
4, 1500, 3.153719, 3.147742
4, 2000, 7.403592, 7.411284
4, 3000, 24.835520, 24.840054
10, 500, 1.081811, 0.192025
10, 1000, 0.437593, 1.283994
10, 1500, 1.369007, 4.092114
10, 2000, 3.137315, 9.394449
10, 3000, 10.230208, 30.690863
2, 500, 0.230827, 0.229600
2, 1000, 1.901392, 1.900505
2, 1500, 6.172232, 6.172199
2, 2000, 14.725117, 14.723933
2, 3000, 50.731422, 50.900774
4, 500, 0.129836, 0.124514
4, 1000, 1.175223, 1.167765
4, 1500, 3.148702, 3.143678
4, 2000, 7.418958, 7.415344
4, 3000, 24.649740, 24.655644
10, 500, 0.070055, 0.203051
10, 1000, 0.435638, 1.275991
10, 1500, 1.350855, 4.037962
10, 2000, 3.133203, 9.378299
10, 3000, 10.190200, 30.568075
2, 500, 0.237437, 0.230646
2, 1000, 2.841466, 1.819029
2, 1500, 6.205133, 6.204495
2, 2000, 14.742525, 14.743235
2, 3000, 49.237398, 49.253850
4, 500, 0.125441, 0.120981
4, 1000, 1.054347, 1.052444
4, 1500, 3.163516, 3.157245
4, 2000, 7.427923, 7.426938
4, 3000, 24.734151, 24.736394
10, 500, 0.073820, 0.202852
10, 1000, 0.441752, 1.303082
10, 1500, 1.350592, 4.035327
10, 2000, 3.318733, 9.951058
10, 3000, 10.226858, 30.660071
2, 500, 1.246158, 0.232131
2, 1000, 1.813267, 1.812698
2, 1500, 6.153319, 6.152831
2, 2000, 14.659805, 14.667686
2, 3000, 49.559598, 49.570624
4, 500, 1.133873, 0.119827
4, 1000, 0.935628, 0.933740
4, 1500, 3.124080, 3.123245
4, 2000, 7.383265, 7.388577
4, 3000, 25.784583, 24.749454
10, 500, 0.064942, 0.184817
10, 1000, 0.442942, 1.308015
10, 1500, 1.350884, 4.043245
10, 2000, 3.443726, 10.316023
10, 3000, 10.208959, 30.628552
2, 500, 0.232754, 0.230890
2, 1000, 2.822976, 1.809960
2, 1500, 6.195013, 6.195319
2, 2000, 14.759914, 14.760670
2, 3000, 56.332767, 56.355567
4, 500, 0.820346, 0.811109
4, 1000, 0.940183, 0.936549
4, 1500, 4.029976, 4.026140
4, 2000, 11.575280, 11.150748
4, 3000, 24.749662, 24.751067
10, 500, 0.405744, 1.197149
10, 1000, 0.439949, 1.296003
10, 1500, 1.347723, 4.020159
10, 2000, 3.118473, 9.336038
10, 3000, 10.235894, 30.703970
2, 500, 0.231315, 0.230268
2, 1000, 1.822254, 1.820355
2, 1500, 6.381826, 6.384123
2, 2000, 14.589774, 14.584883
2, 3000, 49.062728, 49.075615
4, 500, 0.123459, 0.121147
4, 1000, 0.927656, 0.925723
4, 1500, 3.124965, 3.123361
4, 2000, 7.400907, 7.400409
4, 3000, 24.685164, 24.696471
10, 500, 0.077878, 0.204097
10, 1000, 0.477657, 1.413436
10, 1500, 1.618481, 4.838344
10, 2000, 3.128182, 9.359962
10, 3000, 10.232681, 30.690334
2, 500, 0.232254, 0.230694
2, 1000, 1.812762, 1.811527
2, 1500, 6.187182, 6.193038
2, 2000, 14.624079, 14.620722
2, 3000, 50.555750, 50.575549
4, 500, 0.127853, 0.123543
4, 1000, 0.930258, 0.927958
4, 1500, 3.141507, 3.139046
4, 2000, 7.385842, 7.384656
4, 3000, 24.691993, 24.694347
10, 500, 0.068333, 0.190645
10, 1000, 0.433712, 1.293459
10, 1500, 1.349611, 4.024140
10, 2000, 3.134227, 9.392034
10, 3000, 10.327720, 30.968048
2, 500, 0.234062, 0.230948
2, 1000, 1.814013, 1.812670
2, 1500, 6.110442, 6.110082
2, 2000, 14.587364, 14.588423
2, 3000, 49.085365, 49.101191
4, 500, 0.125259, 0.120849
4, 1000, 0.926780, 0.924785
4, 1500, 3.121390, 3.120069
4, 2000, 7.381609, 7.380417
4, 3000, 25.222013, 25.230300
10, 500, 0.074916, 0.204128
10, 1000, 0.429649, 1.282411
10, 1500, 1.365515, 4.068134
10, 2000, 3.124277, 9.351168
10, 3000, 10.226815, 30.679074
