2, 100, 0.5150
2, 200, 0.44577
2, 400, 0.401470
2, 600, 1.437065
2, 800, 3.517276
2, 1000, 9.192746
2, 1500, 40.353533
2, 2000, 133.459317
4, 100, 0.5557
4, 200, 0.44215
4, 400, 0.398633
4, 600, 1.447141
4, 800, 3.482279
4, 1000, 6.850473
4, 1500, 33.442985
4, 2000, 124.737071
10, 100, 0.6646
10, 200, 0.43713
10, 400, 0.388792
10, 600, 1.434331
10, 800, 3.514188
10, 1000, 6.856874
10, 1500, 28.277415
10, 2000, 85.525948
2, 100, 0.5146
2, 200, 0.44345
2, 400, 0.413674
2, 600, 1.483292
2, 800, 3.473967
2, 1000, 7.98491
2, 1500, 32.892548
2, 2000, 121.687299
4, 100, 0.5531
4, 200, 0.44620
4, 400, 0.397006
4, 600, 1.432610
4, 800, 3.540707
4, 1000, 6.883163
4, 1500, 30.464564
4, 2000, 118.883642
10, 100, 0.6645
10, 200, 0.46617
10, 400, 0.407681
10, 600, 1.472543
10, 800, 3.520222
10, 1000, 6.857526
10, 1500, 27.878112
10, 2000, 85.524612
2, 100, 0.5145
2, 200, 0.43753
2, 400, 0.401933
2, 600, 1.459214
2, 800, 3.472721
2, 1000, 7.121153
2, 1500, 30.379083
2, 2000, 122.492005
4, 100, 0.5655
4, 200, 0.44286
4, 400, 0.400006
4, 600, 1.442651
4, 800, 3.445973
4, 1000, 6.743694
4, 1500, 33.454265
4, 2000, 119.60867
10, 100, 0.6013
10, 200, 0.46170
10, 400, 0.395819
10, 600, 1.483219
10, 800, 3.424448
10, 1000, 6.922930
10, 1500, 28.365740
10, 2000, 81.78564
2, 100, 0.5190
2, 200, 0.44359
2, 400, 0.396939
2, 600, 1.489844
2, 800, 3.500275
2, 1000, 6.884865
2, 1500, 28.800415
2, 2000, 112.324925
4, 100, 0.2788
4, 200, 0.44396
4, 400, 0.385535
4, 600, 1.447400
4, 800, 3.448409
4, 1000, 6.865921
4, 1500, 28.985647
4, 2000, 112.34727
10, 100, 0.6642
10, 200, 0.46177
10, 400, 0.393295
10, 600, 1.453131
10, 800, 3.496888
10, 1000, 6.817862
10, 1500, 27.481722
10, 2000, 85.11640
2, 100, 0.5048
2, 200, 0.44379
2, 400, 0.394407
2, 600, 1.452384
2, 800, 3.552543
2, 1000, 6.819409
2, 1500, 29.820796
2, 2000, 129.459425
4, 100, 0.5643
4, 200, 0.45025
4, 400, 0.405399
4, 600, 1.443176
4, 800, 3.452472
4, 1000, 6.831190
4, 1500, 33.28824
4, 2000, 116.344444
10, 100, 0.6114
10, 200, 0.45888
10, 400, 0.399143
10, 600, 1.462568
10, 800, 3.466269
10, 1000, 6.865184
10, 1500, 26.892922
10, 2000, 84.439776
2, 100, 0.5152
2, 200, 0.43592
2, 400, 0.397902
2, 600, 1.463619
2, 800, 3.490067
2, 1000, 6.799910
2, 1500, 29.1163
2, 2000, 116.562780
4, 100, 0.5531
4, 200, 0.44950
4, 400, 0.394679
4, 600, 1.454446
4, 800, 3.462688
4, 1000, 6.835834
4, 1500, 27.731936
4, 2000, 114.81118
10, 100, 0.6808
10, 200, 0.46181
10, 400, 0.405911
10, 600, 1.491270
10, 800, 3.468349
10, 1000, 6.845529
10, 1500, 26.876243
10, 2000, 82.564699
2, 100, 0.5099
2, 200, 0.43584
2, 400, 0.408518
2, 600, 1.441518
2, 800, 3.486712
2, 1000, 8.682306
2, 1500, 28.132997
2, 2000, 125.642084
4, 100, 0.5483
4, 200, 0.45325
4, 400, 0.390824
4, 600, 1.467163
4, 800, 3.460849
4, 1000, 6.791930
4, 1500, 28.873418
4, 2000, 110.560325
10, 100, 0.6656
10, 200, 0.38764
10, 400, 0.394420
10, 600, 1.457510
10, 800, 3.529101
10, 1000, 6.870280
10, 1500, 26.169383
10, 2000, 83.848871
2, 100, 0.5136
2, 200, 0.43826
2, 400, 0.392861
2, 600, 1.477897
2, 800, 3.483512
2, 1000, 6.959986
2, 1500, 34.495397
2, 2000, 124.729647
4, 100, 0.5622
4, 200, 0.44606
4, 400, 0.397885
4, 600, 1.476606
4, 800, 3.525593
4, 1000, 7.2401
4, 1500, 42.129362
4, 2000, 125.808509
10, 100, 0.6650
10, 200, 0.46979
10, 400, 0.404411
10, 600, 1.451919
10, 800, 3.488760
10, 1000, 6.871400
10, 1500, 27.683022
10, 2000, 86.443784
2, 100, 0.5052
2, 200, 0.44770
2, 400, 0.380387
2, 600, 1.456059
2, 800, 3.479175
2, 1000, 6.902213
2, 1500, 28.536585
2, 2000, 104.136401
4, 100, 0.5604
4, 200, 0.44763
4, 400, 0.396462
4, 600, 1.460334
4, 800, 3.442402
4, 1000, 6.771906
4, 1500, 26.717398
4, 2000, 111.590613
10, 100, 0.6664
10, 200, 0.45670
10, 400, 0.392429
10, 600, 1.461713
10, 800, 3.456327
10, 1000, 6.897013
10, 1500, 26.982709
10, 2000, 81.976038
2, 100, 0.5183
2, 200, 0.45016
2, 400, 0.408017
2, 600, 1.477602
2, 800, 3.503721
2, 1000, 6.889549
2, 1500, 33.823503
2, 2000, 116.702019
4, 100, 0.5458
4, 200, 0.44978
4, 400, 0.397526
4, 600, 1.475437
4, 800, 3.458554
4, 1000, 6.842132
4, 1500, 30.735936
4, 2000, 125.548737
10, 100, 0.6808
10, 200, 0.43956
10, 400, 0.391839
10, 600, 1.441628
10, 800, 3.507280
10, 1000, 6.906466
10, 1500, 27.874928
10, 2000, 86.206190
